Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2017-08-06,BitShares,BTS,0.1521,394982197.46,2597600000
2017-07-30,BitShares,BTS,0.1258,326801140.04,2597340000
2017-07-23,BitShares,BTS,0.1712,444705136.91,2597120000
2017-08-13,BitShares,BTS,0.1572,408484912.25,2597840000
2017-07-16,BitShares,BTS,0.09488,246387446.99,2596890000
2017-07-09,BitShares,BTS,0.1698,440920700.59,2596700000
2017-07-02,BitShares,BTS,0.2143,556410032.54,2596520000
2017-06-25,BitShares,BTS,0.2996,777820920.04,2596340000
2017-06-18,BitShares,BTS,0.3258,845946486.09,2596190000
2017-06-11,BitShares,BTS,0.392,1020271205.21,2602450000
2017-05-21,BitShares,BTS,0.1003,260930350.51,2601540000
2017-05-07,BitShares,BTS,0.0348,90474363.7,2599560000
2016-11-13,BitShares,BTS,0.004458,11483703.97,2576210000
2016-11-06,BitShares,BTS,0.004301,11077970.7,2575750000
2016-10-16,BitShares,BTS,0.004468,11506318.97,2575020000
2016-10-02,BitShares,BTS,0.004796,12345155.33,2574280000
2016-09-25,BitShares,BTS,0.005128,13200854.94,2574050000
2016-09-18,BitShares,BTS,0.005188,13354104.58,2573820000
2016-09-11,BitShares,BTS,0.004955,12752237.89,2573690000
2016-09-04,BitShares,BTS,0.005409,13918240.18,2573150000
2016-08-28,BitShares,BTS,0.005327,13703555.57,2572300000
2016-08-21,BitShares,BTS,0.005796,14901859.74,2571130000
2016-08-14,BitShares,BTS,0.004979,12796221.64,2570270000
2016-08-07,BitShares,BTS,0.004486,11527977.53,2569500000
2016-07-31,BitShares,BTS,0.004609,11838238.35,2568620000
2016-07-24,BitShares,BTS,0.005301,13610655.71,2567760000
2016-07-17,BitShares,BTS,0.004956,12720203.2,2566810000
2016-06-12,BitShares,BTS,0.003944,10103527.3,2561780000
2016-07-03,BitShares,BTS,0.004506,11558522.34,2565010000
2016-06-26,BitShares,BTS,0.0038,9744009.24,2564050000
2016-06-19,BitShares,BTS,0.00417,10687116.16,2562960000
2016-05-29,BitShares,BTS,0.003335,8537806.25,2559770000
2016-05-22,BitShares,BTS,0.003492,8935583.29,2558810000
2016-06-05,BitShares,BTS,0.00355,9090014.51,2560770000
2016-05-08,BitShares,BTS,0.003905,9981191.61,2555820000
2016-05-01,BitShares,BTS,0.004058,10367705.79,2554610000
2016-05-15,BitShares,BTS,0.003574,9139508.55,2557340000
2016-07-10,BitShares,BTS,0.004724,12120562.73,2565900000
2016-04-24,BitShares,BTS,0.004116,10509781.18,2553280000
2016-04-03,BitShares,BTS,0.005941,15155311.57,2550891891
2016-04-17,BitShares,BTS,0.004447,11351716.26,2552590000
2016-04-10,BitShares,BTS,0.005068,12932507.16,2551820000
2016-03-27,BitShares,BTS,0.006226,15875120.86,2549639975
2016-03-20,BitShares,BTS,0.00556,14167579.5,2548052203
2016-03-13,BitShares,BTS,0.007267,18510276.16,2547182197
2016-03-06,BitShares,BTS,0.005082,12936249.9,2545556877
2016-02-28,BitShares,BTS,0.004133,10516232.84,2544353574
2016-02-21,BitShares,BTS,0.00415,10554531.97,2543070711
2016-02-14,BitShares,BTS,0.004539,11536306.17,2541732874
2016-02-07,BitShares,BTS,0.003666,9314632.58,2540631892
2016-01-31,BitShares,BTS,0.003349,8507406.78,2539963349
2016-01-24,BitShares,BTS,0.003092,7852410.6,2539221363
2016-01-17,BitShares,BTS,0.003037,7708844.07,2538465674
2016-01-10,BitShares,BTS,0.003029,7685858.51,2537729279
2016-01-03,BitShares,BTS,0.003386,8591687.58,2537097300
2015-12-27,BitShares,BTS,0.003548,8999976.2,2536526784
2015-12-20,BitShares,BTS,0.003513,8907591.9,2535765776
2015-12-13,BitShares,BTS,0.00369,9354886.27,2535141675
2015-12-06,BitShares,BTS,0.003414,8652609.96,2534613763
2015-11-29,BitShares,BTS,0.003211,8136840.66,2534069539
2015-11-22,BitShares,BTS,0.003307,8377872.93,2533639703
2015-11-15,BitShares,BTS,0.003475,8729977.33,2511953117
2015-11-08,BitShares,BTS,0.003484,8750399.46,2511953117
2015-11-01,BitShares,BTS,0.004348,10921897.41,2511953117
2015-10-25,BitShares,BTS,0.003713,9325886.16,2511953117
